排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
300,物流,BK0422,7878.72,1.38,0.02,722963392000,0.88,22,22,天顺股份,3.64
301,轮胎轮毂,BK1527,3148.13,0.43,0.01,259606163000,1.12,11,10,兆丰股份,1.97
302,印制电路板,BK1340,8137.86,1.0,0.01,1594589360000,2.05,18,25,中英科技,6.73
303,房地产,BK1202,2107.88,0.1,0.0,1083900880000,1.16,44,50,宁波富达,9.98
304,美容护理,BK1035,1009.94,0.01,0.0,293165376000,1.06,14,17,青松股份,3.08
305,非金属材料Ⅲ,BK1411,1915.85,-0.18,-0.01,101960847000,2.13,6,6,秉扬科技,4.07
306,非金属材料Ⅱ,BK1020,1915.85,-0.18,-0.01,101960847000,2.13,6,6,秉扬科技,4.07
307,其他纺织,BK1350,2075.78,-0.23,-0.01,63421081000,2.08,5,8,台华新材,1.67
308,农商行Ⅲ,BK1612,466.81,-0.06,-0.01,272007600000,0.64,6,2,紫金银行,0.72
309,能源金属,BK1015,1020.56,-0.26,-0.03,587271248000,5.84,3,8,融捷股份,5.38
310,海洋捕捞,BK1513,1308.56,-0.4,-0.03,6965246000,2.17,1,1,中水渔业,1.88
311,商用载客车,BK1531,3858.83,-1.18,-0.03,97572896000,1.2,2,3,宇通客车,1.09
312,化学原料,BK1019,1159.45,-0.41,-0.04,936458800000,2.8,28,34,维远股份,10.03
313,涤纶,BK1413,1902.32,-0.83,-0.04,83977726000,2.3,5,5,彩蝶实业,1.52
314,环境治理,BK1235,2583.38,-1.23,-0.05,818123472000,1.82,43,61,雪浪环境,19.98
315,分立器件,BK1327,13028.26,-6.42,-0.05,456052160000,1.56,3,15,锴威特,20.0
316,航空机场,BK0420,4648.67,-2.42,-0.05,706757152000,0.64,4,9,厦门空港,2.8
317,工程机械,BK0739,2298.81,-1.26,-0.05,751297008000,1.49,13,19,恒立钻具,6.82
318,动物保健Ⅲ,BK1501,4700.4,-2.7,-0.06,70026170000,1.05,6,7,生物股份,2.01
319,动物保健Ⅱ,BK1254,4700.4,-2.7,-0.06,70026170000,1.05,6,7,生物股份,2.01
320,专业服务,BK1043,1463.44,-1.1,-0.08,206396888000,1.31,13,20,实朴检测,4.86
321,家居用品,BK0440,51507.75,-39.53,-0.08,539369424000,1.37,36,36,联翔股份,9.99
322,工控设备,BK1407,5673.78,-4.56,-0.08,441591808000,1.2,14,17,科瑞技术,3.92
323,电子,BK1201,10661.34,-8.74,-0.08,14514663168000,2.09,190,298,锴威特,20.0
324,电动乘用车,BK1519,6371.15,-5.28,-0.08,1178112992000,1.35,2,1,比亚迪,0.8
325,血液制品,BK1597,5150.53,-4.43,-0.09,101741930000,0.4,2,4,博晖创新,0.84
326,租赁,BK1365,3171.86,-2.84,-0.09,78460162000,0.88,1,2,江苏金租,1.85
327,造纸,BK1267,2766.05,-2.52,-0.09,182880521000,1.45,14,9,荣晟环保,3.56
328,纺织鞋类制造,BK1347,497.79,-0.46,-0.09,50881200000,0.08,0,1,华利集团,-0.09
329,乳品,BK1585,2324.56,-2.32,-0.1,260502015000,1.05,9,9,天润乳业,2.39
330,医疗美容,BK1253,1190.87,-1.23,-0.1,79871767000,1.3,1,3,*ST美谷,2.69
331,软件开发,BK0737,1179.93,-1.29,-0.11,1725841648000,1.98,57,76,云赛智联,10.0
332,跨境物流,BK1488,1814.36,-2.11,-0.12,186276474000,0.87,5,7,中创物流,3.18
333,煤炭开采,BK1250,1826.03,-2.15,-0.12,2235586912000,1.33,13,13,电投能源,5.02
334,照明设备Ⅲ,BK1460,2685.3,-3.24,-0.12,85202658000,1.75,6,9,得邦照明,6.21
335,照明设备Ⅱ,BK1245,2685.3,-3.24,-0.12,85202658000,1.75,6,9,得邦照明,6.21
336,专用设备,BK0910,3584.69,-4.33,-0.12,1649931872000,1.57,91,108,江顺科技,10.0
337,教育运营及其他,BK1556,1698.49,-2.21,-0.13,21493708000,1.22,1,2,博瑞传播,0.82
