date,net_value,net_return,cumulative_return
2025-10-31,1417825.3797425702,-0.2910873101287149,-1.0
2025-11-03,1417825.3797425702,-0.2910873101287149,-1.0
2025-11-04,1446638.2183798202,-0.2766808908100899,-1.0
2025-11-05,1454981.2183798202,-0.2725093908100899,-1.0
2025-11-06,1457492.2183798202,-0.2712538908100899,-1.0
2025-11-07,1409864.2183798202,-0.2950678908100899,-1.0
2025-11-10,1386698.2183798202,-0.3066508908100899,-1.0
2025-11-11,1355351.2183798202,-0.3223243908100899,-1.0
2025-11-12,1371551.2183798202,-0.3142243908100899,-1.0
2025-11-13,1370903.2183798202,-0.3145483908100899,-1.0
2025-11-14,1369620.2319840002,-0.3151898840079999,-1.0
2025-11-17,1369620.2319840002,-0.3151898840079999,-1.0
2025-11-18,1369620.2319840002,-0.3151898840079999,-1.0
2025-11-19,1369620.2319840002,-0.3151898840079999,-1.0
2025-11-20,1369620.2319840002,-0.3151898840079999,-1.0
2025-11-21,1369620.2319840002,-0.3151898840079999,-1.0
2025-11-24,1383868.1101768,-0.3080659449116,-1.0
2025-11-25,1395660.1101768,-0.3021699449116,-1.0
2025-11-26,1388692.1101768,-0.3056539449116,-1.0
2025-11-27,1398876.1101768,-0.3005619449116,-1.0
2025-11-28,1412008.1101768003,-0.29399594491159986,-1.0
2025-12-01,1421120.1101768,-0.28943994491159997,-1.0
2025-12-02,1415492.1101768,-0.29225394491159995,-1.0
2025-12-03,1407184.1101768003,-0.2964079449115999,-1.0
2025-12-04,1396464.1101768,-0.3017679449116,-1.0
2025-12-05,1406648.1101768,-0.2966759449116,-1.0
2025-12-08,1428088.1101767998,-0.2859559449116001,-1.0
2025-12-09,1429964.1101767998,-0.2850179449116001,-1.0
2025-12-10,1414688.1101767998,-0.2926559449116001,-1.0
2025-12-11,1392176.1101768,-0.30391194491159995,-1.0
2025-12-12,1382528.1101768,-0.30873594491159995,-1.0
2025-12-15,1377436.1101768,-0.3112819449116,-1.0
2025-12-16,1382528.1101768,-0.30873594491159995,-1.0
2025-12-17,1388960.1101768,-0.30551994491159995,-1.0
2025-12-18,1389496.1101768,-0.30525194491159996,-1.0
2025-12-19,1390032.1101768,-0.30498394491159997,-1.0
2025-12-22,1405844.1101768,-0.2970779449116,-1.0
2025-12-23,1400216.1101768,-0.2998919449116,-1.0
2025-12-24,1409864.1101767998,-0.2950679449116001,-1.0
2025-12-25,1411472.1101768,-0.29426394491159996,-1.0
2025-12-26,1398876.1101768,-0.3005619449116,-1.0
2025-12-29,1390032.1101768,-0.30498394491159997,-1.0
2025-12-30,1388686.86376056,-0.30565656811972,-1.0
2025-12-31,1388686.86376056,-0.30565656811972,-1.0
